,event,event_code,time,user,message,category,code
2222,match round two,9,[1:30:05] ,majestichimeros,new top tier sf playing rookie division,game,9
2223,match round two,9,[1:30:05] ,azraelgt,ustinodj downloading patch i can tomorrow tho,game,9
2224,match round two,9,[1:30:06] ,pequenospock,this guy is a lol player,comment,2
2225,match round two,9,[1:30:20] ,valeriobr,welcome smurfs d,game,9
2226,match round two,9,[1:30:23] ,ensanesane,no rookie goes for that,comment,2
2227,match round two,9,[1:30:33] ,melloww,poor plebs trying the game out on free weekened only to get greeted by diamond players bullying them,comment,2
2228,match win,11,[1:30:43] ,asairaven,that was a fun game,goodp,6
2229,match win,11,[1:30:43] ,komradekontroll,the rank fits,goodp,6
2230,match win,11,[1:30:43] ,darnellplayer,drink some water,request,1
2231,match win,11,[1:30:45] ,gregcanela,learn on the go,request,1
2232,match win,11,[1:30:46] ,squalladv,doodmako,other,10
2233,match win,11,[1:30:46] ,jimmylee,points,other,10
2234,match win,11,[1:30:50] ,someguyzero,this is not rookie,comment,2
2235,match win,11,[1:30:50] ,hiiipwr,laughswithknives,other,10
2236,match win,11,[1:30:56] ,megatonbeef,you even sound like a bronze player bro,comment,2
2237,match win,11,[1:30:56] ,peepcan,smurf fighter v,other,10
2238,match win,11,[1:30:58] ,paulowebtv,paulowblanka paulowblanka,other,10
2239,match win,11,[1:30:58] ,hennesyhufflepuf,qcb hk into super,other,10
2240,match win,11,[1:31:02] ,johnieshabravo,hawt kawfee,other,10
2241,match win,11,[1:31:03] ,komradekontroll,bronze,game,9
2242,match win,11,[1:31:03] ,empcannedpasta,how minis after a run,question,8
2243,match win,11,[1:31:05] ,beatsbynoelbrown,you need that jp voice on poison,cdesign,4
2244,match win,11,[1:31:09] ,squalladv,bronze ohmydog,game,9
2245,match win,11,[1:31:10] ,raino,bronze vespers best rank,game,9
2246,match win,11,[1:31:11] ,nytecrawla,the back scratcher is the real,game,9
2247,match round one,8,[1:31:14] ,toumakami,the ehonda smurf is waiting for u,game,9
2248,match round one,8,[1:31:16] ,fightersarg,te rascas la espalda con un palo maestro,other,10
2249,match round one,8,[1:31:25] ,taken,i want to try lucia and posion,cinfo,5
2250,match round one,8,[1:31:25] ,nytecrawla,smurf,game,9
2251,match round one,8,[1:31:25] ,moobot,join the arcade discord at httpsdiscordggesjxkm,other,10
2252,match round one,8,[1:31:27] ,leafretv,the poor newbies who downloaded sfv cause of the free trial after evo are going to uninstall,game,9
2253,match round one,8,[1:31:30] ,vampirekoala,bronze boy,game,9
2254,match round one,8,[1:31:32] ,valeriobr,bronze yeah poooound,game,9
2255,match round one,8,[1:31:33] ,darnellplayer,poison i want away from me,cinfo,5
2256,match round one,8,[1:31:39] ,omegachainox,too much waifus,other,10
2257,match round one,8,[1:31:40] ,hulkbusterv,may i have this dance walk,request,1
2258,match round one,8,[1:31:41] ,melloww,lmaoi,goodp,6
2259,match round one,8,[1:31:46] ,snowfarmer,dash looks fast,caction,3
2260,match round one,8,[1:31:55] ,someguyzero,does poison have a dp,question,8
2261,match round one,8,[1:31:55] ,squalladv,why only default season free tho capcom,question,8
2262,match round one,8,[1:32:14] ,dtested,after you do shoulder charge crouch lp into vskill,request,1
2263,match round one,8,[1:32:25] ,brandx,poison cr lk is i hear,cinfo,5
2264,match round one,8,[1:32:27] ,shinzo,if newbies were jumping into ranked right away then they would uninstall anyway not gonna get far button mashing with knowledge,game,9
2265,match win,11,[1:32:38] ,nosferatulive,all the new players having fun in smurf city,game,9
2266,match win,11,[1:32:40] ,miketales,could you slide under fireballs,question,8
2267,match win,11,[1:32:41] ,valeriobr,tarzan tactics,game,9
2268,match round two,9,[1:32:51] ,dtested,you can also vtrigger from it into sweep juggle combo,request,1
2269,match round two,9,[1:33:03] ,squalladv,tarzan mixups,game,9
2270,match round two,9,[1:33:08] ,llesor,she should use st mk more,request,1
2271,match round two,9,[1:33:12] ,horseapples,poison,cinfo,5
2272,match round two,9,[1:33:21] ,taken,im glad posion has a whip now,cdesign,4
2273,match round two,9,[1:33:24] ,melloww,shinzo youd be surprised how many newbies run ranked straight away,game,9
2274,match round two,9,[1:33:31] ,crypticrumpet,was there a balance patch,question,8
2275,match round two,9,[1:33:34] ,dtested,or qsbk combo,other,10
2276,match round two,9,[1:33:37] ,jaynines,anyone know how to buy characters on psn only giving me fight money option,game,9
2277,match lose,12,[1:33:53] ,someguyzero,did you try the other vt,question,8
2278,match lose,12,[1:33:55] ,shinzo,then it wouldnt make a difference if they ran into a smurf or a casual they would still lose,game,9
2279,match lose,12,[1:33:57] ,someguyzero,weapon fury,other,10
2288,match win,11,[1:34:41] ,damuffinman,better than evo,game,9
2289,match win,11,[1:34:43] ,dacjosh,no honda tonight,cinfo,5
2290,match win,11,[1:34:43] ,spydermanga,noneedmotivation def scummy,other,10
2291,match win,11,[1:34:43] ,someguyzero,did you try the other vt,question,8
2292,match win,11,[1:34:47] ,dtested,do the trials,request,1
2293,match win,11,[1:34:49] ,enzo,the bundle is available now,game,9
2294,match win,11,[1:34:50] ,squalladv,noneedmotivation yeah capcom being capcom,game,9
2295,match win,11,[1:34:51] ,melloww,redhotjoe no,other,10
2296,match win,11,[1:34:51] ,crypticrumpet,was there a balance patch,question,8
2297,match win,11,[1:34:57] ,donh,finally scapes rookie,game,9
2298,match win,11,[1:34:58] ,admiralackbarssnackbar,she is a rushdownzoner,cinfo,5
2361,match round one,8,[1:36:30] ,eltaninz,she looks pretty amazing imo,cdesign,4
2362,match round one,8,[1:36:30] ,lalilulelolz,i think shes awesome,cinfo,5
2363,match round one,8,[1:36:32] ,izicken,good,goodp,6
2364,match round one,8,[1:36:33] ,enzo,she seems fun,cinfo,5
2365,match round one,8,[1:36:36] ,dacjosh,i think she probably has a good shimmy game,cinfo,5
2366,match round one,8,[1:36:37] ,taken,is the bundle out on psn yet,game,9
2367,match round one,8,[1:36:38] ,fedorabattlemaster,shes got,cinfo,5
2368,match round one,8,[1:36:38] ,johnieshabravo,shes pretty amazing,cinfo,5
2369,match round one,8,[1:36:39] ,kantokid,pretty solid so far,cinfo,5
2370,match round one,8,[1:36:39] ,yamsandjams,she seems ok,cinfo,5
2371,match round one,8,[1:36:40] ,zyxwhitewind,i like,goodp,6
2372,match round one,8,[1:36:41] ,horseapples,i dont like fireballs she seems nice otherwise,cinfo,5
2373,match round one,8,[1:36:41] ,thablackoshin,she dope as hell,cinfo,5
2374,match round one,8,[1:36:41] ,damuffinman,shes got a decent rack,cinfo,5
2375,match round one,8,[1:36:45] ,fedorabattlemaster,shes hot,cdesign,4
2376,match round one,8,[1:36:46] ,dangalfthekrey,she seems cool af,cdesign,4
2377,match round one,8,[1:36:48] ,noggetgump,she looks like an all around,cdesign,4
2378,match round one,8,[1:36:53] ,darnellplayer,she seems cool,cdesign,4
2379,match round one,8,[1:36:57] ,peepcan,i like her theme,cdesign,4
2380,match round one,8,[1:36:57] ,fyzx,fchamp is convinced lucia is top tier,cinfo,5
2381,match round one,8,[1:36:57] ,komradekontroll,i wanna try her out,cinfo,5
2382,match round one,8,[1:36:58] ,izicken,she fun for sure,cinfo,5
2383,match round one,8,[1:36:58] ,ninjavanish,shes better than i thought she was going to be,cinfo,5
2384,match round one,8,[1:36:59] ,ninodiablo,shes pretty good,cinfo,5
2385,match round one,8,[1:37:01] ,komradekontroll,and peep r,other,10
2386,match round one,8,[1:37:02] ,thatjapanesedude,her accent is top tier,cdesign,4
2387,match round one,8,[1:37:04] ,realtier,another blonde hggokay,cdesign,4
2388,match round one,8,[1:37:04] ,spacedive,harness your innner diago,other,10
2389,match round one,8,[1:37:06] ,brandx,dont like her animations though combos seem fine,cdesign,4
2390,match round one,8,[1:37:07] ,ninodiablo,a lot of mobility,cinfo,5
2391,match win,11,[1:37:08] ,shinbaxter,her upwards fireball looks well goofy,other,10
2392,match win,11,[1:37:09] ,countmeowingtonn,ive seen some crazy poison shit she might get picked up,cinfo,5
2393,match win,11,[1:37:12] ,fighterinthestreet,she seems like a low budget character,cdesign,4
2394,match win,11,[1:37:13] ,someguyzero,best blond in the game,cdesign,4
2395,match round two,9,[1:37:15] ,magicjerryfresh,this seems like a sako replacement for kage,cinfo,5
2396,match round two,9,[1:37:19] ,fighterinthestreet,will you playbpoison,request,1
2397,match round two,9,[1:37:20] ,dangalfthekrey,she has good corner carry shes like a mix of kensakuraratshit,cinfo,5
2398,match round two,9,[1:37:22] ,ninodiablo,fireballs give a lot of lockdown optiobs,cinfo,5
2399,match round two,9,[1:37:22] ,slylataupe,honda honda plzzz,request,1
2400,match round two,9,[1:37:26] ,poorygone,better fireball than kage,cinfo,5
2401,match round two,9,[1:37:26] ,snowfarmer,honda is fun,cinfo,5
2402,match round two,9,[1:37:27] ,ninodiablo,options,request,1
2403,match round two,9,[1:37:29] ,awoo,how is her vskill,question,8
2404,match round two,9,[1:37:30] ,daveski,yeah it is,other,10
2405,match round two,9,[1:37:31] ,taurusmagnus,she looks hella fun poison too,cdesign,4
2406,match round two,9,[1:37:33] ,spookyleonnueve,wack honda good they couldve picked better characters,game,9
2407,match round two,9,[1:37:36] ,daveski,im actually surprised by honda,cinfo,5
2408,match round two,9,[1:37:36] ,staycookin,anybody have a link for the psn bundle,game,9
2409,match round two,9,[1:37:42] ,yamsandjams,sin tech,other,10
2410,match round two,9,[1:37:44] ,ninodiablo,standing idle animation is weird,cdesign,4
2411,match round two,9,[1:37:44] ,countmeowingtonn,za warudo,other,10
2412,match round two,9,[1:37:49] ,valeriobr,otrust only smurfs todayplease mau,other,10
2413,match round two,9,[1:37:51] ,clinnamon,activated his stand,other,10
2414,match round two,9,[1:37:53] ,fyzx,magicjerryfresh sako gonna have a ball with her for sure,cinfo,5
2415,match round two,9,[1:37:55] ,jaynines,is bundle out on psn,game,9
2416,match round two,9,[1:37:59] ,redpotato,mario fireball,request,1
2417,match round two,9,[1:38:00] ,someguyzero,nonvt necalli,other,10
2418,match win,11,[1:38:02] ,countmeowingtonn,he activated king crimson,other,10
2419,match win,11,[1:38:05] ,spookyleonnueve,makoto wouldve been better,cinfo,5
2420,match win,11,[1:38:10] ,megatonbeef,jaynines dont see it yet,other,10
2421,match win,11,[1:38:13] ,poorygone,ninodiablo final fight pose soo it looks weird,cdesign,4
2422,match win,11,[1:38:17] ,ninjavanish,they must have wifi in that bath house,other,10
2423,match win,11,[1:38:18] ,hennesyhufflepuf,lovd it,goodp,6
2424,match win,11,[1:38:21] ,hennesyhufflepuf,loved,goodp,6
2425,match win,11,[1:38:22] ,rashidoo,harada doesnt give a fook,caction,3
2426,match win,11,[1:38:28] ,eltaninz,what did he say,question,8
2427,match round one,8,[1:38:32] ,yamsandjams,what are friends for,question,8
2428,match round one,8,[1:38:33] ,empcannedpasta,there is no leaks lmaoooooooo,other,10
2429,match round one,8,[1:38:34] ,hurked,dont ask him for shit,other,10
2430,match round one,8,[1:38:34] ,gruffgridof,the sc guy took a shot at them too,other,10
2431,match round one,8,[1:38:36] ,taken,poor,badp,7
2432,match round one,8,[1:38:38] ,rashidoo,dont ask me for sht,other,10
2433,match round one,8,[1:38:39] ,shinzo,iy wasnt even capcoms fault about the leaks it was valve,game,9
2434,match round one,8,[1:38:40] ,daveski,he made fun of soul calibers choppy video too,other,10
2435,match round one,8,[1:38:41] ,brandx,honda on vt has mad comeback if you cant as on reflex,cinfo,5
2436,match round one,8,[1:38:43] ,someguyzero,bet will get revenge next year,cinfo,5
2437,match round one,8,[1:38:43] ,kiboshkaibutsu,uptime,other,10
2438,match round one,8,[1:38:44] ,moobot,has been streaming for h m,other,10
2439,match round one,8,[1:38:45] ,spacedive,so what was that metal gear thing snake for tekken,other,10
2440,match round one,8,[1:38:50] ,dangalfthekrey,harada and okubo fired shots on,cinfo,5
2441,match round one,8,[1:38:50] ,ragingmarmot,tough love,other,10
2442,match round one,8,[1:38:51] ,thatjapanesedude,came out with an aplogy scroll on stage and harada parodied it,other,10
2443,match round one,8,[1:38:55] ,megatonbeef,bro the arcs system guy talked shit on and got booed for it,other,10
2444,match round one,8,[1:39:00] ,kiboshkaibutsu,damn it missed the beginning parts,other,10
2445,match round one,8,[1:39:03] ,boredom,soul caliber guy made fun of too,other,10
2446,match round one,8,[1:39:04] ,realtier,atpharada dont ask me for shit,other,10
2447,match round one,8,[1:39:04] ,horseapples,harada is lucky people have low standards and seem to lap up tekken,other,10
2448,match round one,8,[1:39:04] ,kirb,what did harada do,question,8
2449,match round one,8,[1:39:07] ,spookyleonnueve,eagle would have been awesome,other,10
2450,match round one,8,[1:39:08] ,laughswithknives,atpharada we dont have leaks cuz we dont have shit,other,10
2451,match round one,8,[1:39:13] ,thatjapanesedude,that was the sc guy,other,10
2452,match round one,8,[1:39:14] ,ragingmarmot,they probably knew it was gaben,other,10
2453,match round one,8,[1:39:17] ,ninodiablo,poorygone ill have to look at some final fight videos again,other,10
2454,match round one,8,[1:39:18] ,poorygone,evo did that snake thing,game,9
2455,match round one,8,[1:39:20] ,kristoffers,you did start with lucia i love it,cinfo,5
2456,match round one,8,[1:39:22] ,squalladv,more smurf,request,1
2457,match round one,8,[1:39:27] ,xer,love this new stage,game,9
2458,match round one,8,[1:39:32] ,squalladv,this one is not bronze at all,game,9
2459,match round one,8,[1:39:33] ,roninwoof,wait why do people hate necali again,question,8
2460,match round one,8,[1:39:34] ,megatonbeef,poorygone rude to do,other,10
2461,match round one,8,[1:39:35] ,jar,lucia generic sonya,cinfo,5
2462,match win,11,[1:39:41] ,kiboshkaibutsu,so how is she,question,8
2463,match win,11,[1:39:47] ,thatjapanesedude,machabo tho,other,10
2464,match win,11,[1:39:48] ,ensanesane,i like necalli,cinfo,5
2465,match round two,9,[1:39:52] ,snowfarmer,he is no unga at all,cinfo,5
2466,match round two,9,[1:39:52] ,fyzx,shoulder combos from heavies and you can link a crlp after it,request,1
2467,match round two,9,[1:39:54] ,poorygone,they thought it was funny,other,10
2468,match round two,9,[1:39:55] ,raino,hes unga,other,10
2469,match round two,9,[1:39:57] ,raino,and hes bunga,other,10
2470,match round two,9,[1:39:58] ,lalilulelolz,only good thing about necalli is his theme,cdesign,4
2471,match round two,9,[1:40:04] ,daveski,i like how the water splashes at their feet,cdesign,4
2472,match round two,9,[1:40:12] ,cryojazz,compared to top tiers in s necalli is honest,cinfo,5
2473,match round two,9,[1:40:13] ,someguyzero,should have been bonchan vs machabo gf,other,10
2474,match round two,9,[1:40:17] ,topgunlt,epic paid valve employee to do the leak they are taking this opportunity to embarass steam,other,10
2475,match round two,9,[1:40:21] ,themrheadache,necalli is the most basic character in the game hes just really solid which means hes good and people whine and cry over any character thats better than theirs,cinfo,5
2476,match round two,9,[1:40:23] ,hulkbusterv,hes a jobber too,other,10
2477,match round two,9,[1:40:30] ,swiftruina,necalli is just lame and the story mode solidified that i dont see him coming back in the future,cinfo,5
2478,match round two,9,[1:40:37] ,ninodiablo,her fireballs and kick specials are good,cdesign,4
2479,match round two,9,[1:40:38] ,countmeowingtonn,i think poison is gonna get picked up by someone shes got some good shit,cinfo,5
2480,match round two,9,[1:40:41] ,crypticrumpet,unfortunate drop,other,10
2481,match round two,9,[1:40:41] ,lalilulelolz,isnt lucia like the third character to have that exact same heavy kick animation,question,8
2482,match win,11,[1:40:45] ,adversaryone,i dont see the bundle anywjere,game,9
2483,match win,11,[1:40:45] ,lalilulelolz,her kolin and someone else,other,10
2484,match win,11,[1:40:46] ,donh,what announcement got you the most hyped,question,8
2485,match win,11,[1:40:53] ,ensanesane,you could do the up fireball into safe tackle right,request,1
2486,match win,11,[1:40:56] ,melloww,lalilulelolz cody,other,10
2487,match win,11,[1:41:00] ,tuxadracles,lucia is actually fun and overall this was a good character pack,cdesign,4
2558,match round one,8,[1:43:58] ,ensanesane,i thought it was zeku army,other,10
2559,match round one,8,[1:44:05] ,metalxoath,new option in training mode what is it,game,9
2560,match round one,8,[1:44:06] ,renevbz,her intro is so gay,cdesign,4
2561,match round one,8,[1:44:07] ,squalladv,yeah juri will be nerfed for sure,cinfo,5
2562,match round one,8,[1:44:09] ,boubof,hi everybody no season pass just fm,other,10
2563,match round one,8,[1:44:10] ,menat,when are they gonna add ed,question,8
2564,match round one,8,[1:44:14] ,megatonbeef,thedarkfenix left for smash,other,10
2565,match round one,8,[1:44:15] ,acekings,renevbz lol why,other,10
2566,match round one,8,[1:44:16] ,ninodiablo,no balance patch,game,9
2567,match round one,8,[1:44:16] ,serow,the announcement was that there will be an announcement in novdec,other,10
2568,match round one,8,[1:44:19] ,crypticrumpet,tbh the game is in a good place balance wise,game,9
2569,match round one,8,[1:44:19] ,poorygone,they just announced something for nov and dec and thats it,game,9
2570,match round one,8,[1:44:19] ,chronodragon,karin army rise,request,1
2571,match win,11,[1:44:32] ,ellisdraps,oh bronze life,game,9
2572,match win,11,[1:44:34] ,squalladv,good balance except karin delete karin,request,1
2573,match win,11,[1:44:36] ,bobdobbz,you can make the dummy block high or low only metalxoath,game,9
2574,match round two,9,[1:44:49] ,cryojazz,everyone came through with the announcements but capcom,game,9
2575,match round two,9,[1:44:52] ,sonicsupremacy,crypticrumpet its okay but low tiers are really hurting tbh,game,9
2576,match round two,9,[1:44:53] ,metalxoath,bobdobbz oh sweet thanks,other,10
2577,match round two,9,[1:44:54] ,crypticrumpet,karin isnt even op shes just incredibly solid,cinfo,5
2578,match round two,9,[1:44:55] ,ensanesane,he just stood there lol,caction,3
2579,match round two,9,[1:44:55] ,someguyzero,i bet phenom picked up karin because he kept getting bodied by punk punk scarred him for life,comment,2
2580,match round two,9,[1:44:55] ,kristoffers,you gone through lucias story mode already,question,8
2581,match round two,9,[1:45:00] ,acekings,why does she talk like that where is she from,question,8
2582,match round two,9,[1:45:02] ,lalilulelolz,all i want for juri is just few plus frames please,request,1
2583,match round two,9,[1:45:03] ,snowfarmer,karin needs buffs she actually requires slight execution,cinfo,5
2584,match round two,9,[1:45:05] ,murkado,so boys where does lucia fall on the sf thiccness tier list,question,8
2585,match round two,9,[1:45:06] ,kirb,i didnt watch tekken and smash bros was it hype,other,10
2586,match round two,9,[1:45:07] ,megatonbeef,gave up,caction,3
2587,match round two,9,[1:45:07] ,ssjsoujiro,stage looks great but does it do the thing at match end tho,game,9
2588,match round two,9,[1:45:07] ,shredmaster,he afk tpfufun tpfufun tpfufun,other,10
2589,match round two,9,[1:45:08] ,roninwoof,they announced there would be an announcement in nov seriously,game,9
2590,match round two,9,[1:45:09] ,shinzo,evo annoyed me when infexious went vt vs big bird and the james chen with the other guy couldnt understand why he would use it because its a bad vt it was obvious it was there as a way to escape corner pressure opf rashid because it side swaps,game,9
2591,match round two,9,[1:45:09] ,thedarkfenix,i see guess rip for ryu,game,9
2592,match round two,9,[1:45:10] ,taskanawa,lol,goodp,6
2593,match round two,9,[1:45:12] ,theenygma,technically mk didnt have shit either,other,10
2594,match round two,9,[1:45:12] ,taken,sunflower akuma d,request,1
2595,match round two,9,[1:45:17] ,renevbz,bet capcom wishes they stuck with ps steam ruined evo,game,9
2596,match round two,9,[1:45:17] ,ssjsoujiro,haha it does nice,goodp,6
2597,match round two,9,[1:45:23] ,hurked,tekken was for sure,other,10
2598,match win,11,[1:45:28] ,andynigma,im so mad about these chars and no balance patch actually capcom is the biggest loser in this evo no hype at all,game,9
2599,match win,11,[1:45:28] ,kristoffers,baw,other,10
2600,match win,11,[1:45:28] ,yamsandjams,bulli,other,10
2601,match win,11,[1:45:31] ,tigerbloodbeast,he quit life half way through,other,10
2602,match win,11,[1:45:31] ,getupto,seems like you could do the ex fb and empty jump low,other,10
2603,match win,11,[1:45:31] ,pipiripau,sup greetings from houston,other,10
2604,match win,11,[1:45:32] ,inodmyheadwhenilose,bully,game,9
2605,match win,11,[1:45:32] ,sweetbabybuddha,b u l l y,other,10
2606,match win,11,[1:45:33] ,cryojazz,true but watching mk is an l in itself,other,10
2607,match win,11,[1:45:34] ,rashidoo,i was trying out the game cuz of the free trial but thanks to smurfing i know i wont be buying this shit,game,9
2608,match win,11,[1:45:35] ,darnellplayer,i would like to see ryu ken and sakura get some good buffs imo,game,9
2609,match win,11,[1:45:36] ,fyzx,evo top was in fact good ass tekken,game,9
2643,match round one,8,[1:47:10] ,ensanesane,final fight hype,other,10
2644,match round one,8,[1:47:12] ,countmeowingtonn,give the mayor some kawfee,other,10
2645,match round one,8,[1:47:13] ,nightmarejames,was kages vt bars before,other,10
2646,match round one,8,[1:47:16] ,goldcarats,she seems super interesting she just needs to be in the right hands,cdesign,4
2647,match round one,8,[1:47:16] ,llesor,lore battle,other,10
2648,match round one,8,[1:47:17] ,squalladv,lore fight ohmydog,goodp,6
2649,match round one,8,[1:47:17] ,darnellplayer,zyxwhitewind,other,10
2650,match round one,8,[1:47:18] ,naughtyjuri,solid snake better be in tekken and fuck evo shitty joke,other,10
2651,match round one,8,[1:47:23] ,ssjsoujiro,cannon match up,other,10
2652,match round one,8,[1:47:25] ,garlandu,such deep lore,goodp,6
2653,match round one,8,[1:47:26] ,azurewotan,is that an anti air tatsu,question,8
2654,match round one,8,[1:47:31] ,rorboy,tur da be ba,other,10
2655,match round one,8,[1:47:32] ,chronodragon,time to beat up the mayor,request,1
2656,match round one,8,[1:47:33] ,squalladv,naughtyjuri check evo twitter snake was just a joke,other,10
2657,match round one,8,[1:47:37] ,bobdobbz,honda can combo off lp hands hes a lot like sfiv,cinfo,5
2658,match round one,8,[1:47:37] ,crypticrumpet,it would be cool if her vt functioned like codys vt,cinfo,5
2659,match round one,8,[1:47:37] ,renevbz,i will get back into this game if haggar is dlc,other,10
2660,match round one,8,[1:47:53] ,metalxoath,are their patch notes out i know it was bug fixes and stuff but i still wanna see what changed,game,9
2661,match round one,8,[1:47:53] ,awoo,what are her anti airs,question,8
2662,match round one,8,[1:47:54] ,naughtyjuri,i know but still i dont trust the trolling,other,10
2663,match round one,8,[1:47:56] ,shinzo,you guys see when bonchan won and they put infexiouss name as the champion on the big screen,other,10
2664,match win,11,[1:48:01] ,logiq,youre playing bronze knife is expected,game,9
2665,match win,11,[1:48:01] ,domadormilagroso,enought of final fight characters,other,10
2666,match round two,9,[1:48:10] ,ensanesane,actual bronze cody cause no vskill aa,game,9
2667,match round two,9,[1:48:10] ,rorboy,edi e before haggar,other,10
2668,match round two,9,[1:48:17] ,chronodragon,cody vt,request,1
2669,match round two,9,[1:48:19] ,someguyzero,shinzo no but everyone was talking about it after,other,10
2670,match round two,9,[1:48:27] ,hayates,her shimmy game is od i love her,cdesign,4
2671,match round two,9,[1:48:28] ,poorygone,metalxoath people are looking into it but soo far no balance change,other,10
2672,match round two,9,[1:48:28] ,heaveniydemon,shinzo i was dying when that happen lol,other,10
2673,match round two,9,[1:48:31] ,joskyboi,vskill aa isnt this great,other,10
2674,match win,11,[1:48:36] ,azurewotan,where is gamer bee,question,8
2675,match win,11,[1:48:37] ,hulkbusterv,rip game streak,badp,7
2676,match win,11,[1:48:40] ,clinnamon,codys theme,cdesign,4
2677,match win,11,[1:48:46] ,cryojazz,smurfing boys,game,9
2678,match win,11,[1:48:46] ,goldcarats,is more content coming for this game though,question,8
2679,match win,11,[1:48:52] ,shinzo,the way they cut it off after like seconds made me laugh hard,cdesign,4
2680,match win,11,[1:48:53] ,naughtyjuri,rather you admit it or not she is your character seem to fit your style,cinfo,5
2681,match win,11,[1:48:55] ,pipiripau,can i purchase the new characters with fight money or real money,game,9
2708,match round one,8,[1:49:58] ,thafranchise,probably a complete edition and news for final cpt,game,9
2709,match round one,8,[1:50:03] ,sweetbabybuddha,i hope it gets leaked in september,other,10
2710,match round one,8,[1:50:04] ,hulkbusterv,gg baby,goodp,6
2711,match round one,8,[1:50:04] ,redhotjoe,oro leak,request,1
2712,match round one,8,[1:50:06] ,badarcade,a what,other,10
2713,match round one,8,[1:50:07] ,jar,about that snake thing in tekken that was just a joke according to evo,other,10
2714,match round one,8,[1:50:08] ,poorygone,gg looks neat,goodp,6
2715,match round one,8,[1:50:09] ,countmeowingtonn,that got leaked years ago,other,10
2716,match round one,8,[1:50:09] ,phenrixx,the new guilty gear looks sick,other,10
2717,match round one,8,[1:50:10] ,crypticrumpet,was oro confirmed leaked,question,8
2718,match round one,8,[1:50:10] ,roninwoof,who,question,8
2719,match round one,8,[1:50:12] ,cryojazz,tekken adding new moves to every character sc changing game systems i wish sfv announced sumn like dat,other,10
2720,match round one,8,[1:50:17] ,gruffgridof,probably a cell phone fighting game,other,10
2721,match round one,8,[1:50:17] ,someguyzero,what was the metal gear leak people were talking about,question,8
2722,match round one,8,[1:50:18] ,geneiyun,haomaru for scvi,other,10
2723,match round one,8,[1:50:23] ,domadormilagroso,no news about mvc,other,10
2724,match round one,8,[1:50:24] ,nightmarejames,was kages vt bars before,other,10
2725,match round one,8,[1:50:25] ,megatonbeef,tank for blazeblue most hype,other,10
2726,match round one,8,[1:50:28] ,hulkbusterv,oro gonna leak like a month early,other,10
2727,match round one,8,[1:50:29] ,ensanesane,does her initial kick destroy fireballs,question,8
2728,match round one,8,[1:50:31] ,taken,nope,other,10
2729,match round one,8,[1:50:33] ,kfigueroa,snake for tekken,other,10
2730,match round one,8,[1:50:39] ,omnihakaishin,can you buy the new characters for real cant see a packseason pass,question,8
2731,match round one,8,[1:50:39] ,squalladv,why oro tho vv,question,8
2732,match round one,8,[1:50:40] ,thatjapanesedude,myave david hayter is a huge fighting game fan,other,10
2733,match round one,8,[1:50:40] ,zyxwhitewind,snake was just a prank bro,other,10
2734,match round one,8,[1:50:41] ,themegaguy,kof was announced too right,other,10
2735,match round one,8,[1:50:41] ,damuffinman,mvc is prob next gen,other,10
2736,match round one,8,[1:50:41] ,boredom,what about leroy smith,question,8
2737,match round one,8,[1:50:43] ,ensanesane,aww,other,10
2738,match round one,8,[1:50:43] ,pipiripau,domadormilagroso thanks,other,10
2739,match round one,8,[1:50:43] ,phenrixx,kof is gonna be sick too,other,10
2740,match round one,8,[1:50:44] ,almightygod,hyped for riots fighting game,game,9
2741,match round one,8,[1:50:44] ,countmeowingtonn,someguyzero snake called harada on the codec saying that was some good ass tekken,other,10
2742,match round one,8,[1:50:45] ,crypticrumpet,gg looked amazing,goodp,6
2743,match round one,8,[1:50:45] ,eltaninz,do you think it will be a lol fighting game or that its gonna be a new ip,question,8
2744,match round one,8,[1:50:47] ,linkashbr,another character to deny ryu nice,cinfo,5
2745,match round one,8,[1:50:48] ,jar,gg looks like identical to the previous one,goodp,6
2746,match round one,8,[1:50:50] ,roninwoof,who is making a fighting hame for riot,question,8
2747,match win,11,[1:50:52] ,badarcade,oro will have sakuras back elbow,cinfo,5
2748,match win,11,[1:50:54] ,hurked,good times for the fgc tbh,goodp,6
2749,match round two,9,[1:50:58] ,roninwoof,game,game,9
2750,match round two,9,[1:50:59] ,andynigma,she can slide fireballs already something bad against ken,caction,3
2751,match round two,9,[1:51:01] ,topgunlt,riot did say they were gonna announce something later this year probably at this years lol world championship,game,9
2752,match round two,9,[1:51:01] ,kiboshkaibutsu,how plus is tht m punch,question,8
2753,match round two,9,[1:51:09] ,themrheadache,her ex qcb does the same damage as her medium and less than her heavy,cinfo,5
2754,match round two,9,[1:51:09] ,thablackoshin,that mp is a bully button,comment,2
2755,match round two,9,[1:51:15] ,domadormilagroso,kof for ps or next gen,other,10
2756,match round two,9,[1:51:16] ,almightygod,eltaninz i think it would be a lol fighter,game,9
2757,match round two,9,[1:51:19] ,azurewotan,appearently league fighting game was trademarked,game,9
2758,match round two,9,[1:51:22] ,thebananatreeboa,oro wont be as cool without kurodaunblockable setups,cinfo,5
2759,match round two,9,[1:51:26] ,swiftruina,and its right rip,other,10
2760,match round two,9,[1:51:30] ,micksinjer,wtf,badp,7
2761,match round two,9,[1:51:37] ,megatonbeef,domadormilagroso develpopment just started so next gen,other,10
